연번,업종명,인허가일자,업소명,소재지,소재지(지번),영업자시작일,업태명,급수시설,영업상태,데이터기준일
1,일반음식점,1970-07-08,천화원,경상남도 거제시 신부로 2-4 (장승포동),경상남도 거제시 장승포동 232-29 ,2016-06-08,중국식,상수도전용,운영중,2021-03-04
2,일반음식점,1972-09-16,해중식당,경상남도 거제시 신부로1길 6 (장승포동),경상남도 거제시 장승포동 283-18 ,2005-12-05,한식,상수도전용,운영중,2021-03-04
3,일반음식점,1972-05-22,만리향,경상남도 거제시 일운면 지세포로 96-1,경상남도 거제시 일운면 지세포리 935-3 ,1972-05-22,중국식,상수도전용,운영중,2021-03-04
4,일반음식점,1973-11-16,연화횟집,경상남도 거제시 일운면 구조라로 38,경상남도 거제시 일운면 구조라리 81 ,2020-10-06,횟집,상수도전용,운영중,2021-03-04
5,일반음식점,1973-05-04,고가네생선구이,경상남도 거제시 일운면 구조라로 36,경상남도 거제시 일운면 구조라리 80 ,1973-05-04,한식,상수도전용,운영중,2021-03-04
6,일반음식점,1973-12-29,보영반점,,경상남도 거제시 장목면 장목리 302 ,2009-03-18,중국식,상수도전용,운영중,2021-03-04
7,일반음식점,1974-07-15,왔다반점,경상남도 거제시 두모길 10 (두모동),경상남도 거제시 두모동 365-1 ,2010-03-19,중국식,상수도전용,운영중,2021-03-04
8,일반음식점,1976-04-20,청포횟집,경상남도 거제시 장승포로 117 (장승포동),경상남도 거제시 장승포동 166 ,1976-04-20,횟집,상수도전용,운영중,2021-03-04
9,일반음식점,1976-07-06,종점식당,,경상남도 거제시 사등면 성포리 351 ,2013-03-29,한식,상수도전용,운영중,2021-03-04
10,일반음식점,1976-01-23,평화횟집,경상남도 거제시 사등면 성포로3길 12,경상남도 거제시 사등면 성포리 350-10 ,1976-01-23,횟집,상수도전용,운영중,2021-03-04
11,일반음식점,1976-07-03,중앙횟집,경상남도 거제시 장목면 외포5길 62-1,경상남도 거제시 장목면 외포리 131-9 ,1976-07-03,횟집,상수도전용,운영중,2021-03-04
12,일반음식점,1977-04-15,장승포양꼬치,경상남도 거제시 장승포로 13 (장승포동),경상남도 거제시 장승포동 499-32 ,2014-09-18,식육(숯불구이),상수도전용,운영중,2021-03-04
13,일반음식점,1979-11-29,남천해물전문점,"경상남도 거제시 고현로9길 6 (고현동, (1층))",경상남도 거제시 고현동 819-9 ,2001-02-27,한식,상수도전용,운영중,2021-03-04
14,일반음식점,1980-02-08,부일횟집,경상남도 거제시 장승포로 109 (장승포동),경상남도 거제시 장승포동 182-14 ,1979-05-02,횟집,상수도전용,운영중,2021-03-04
15,일반음식점,1979-06-20,마레스토랑,경상남도 거제시 거제대로 3433-1 (아주동),경상남도 거제시 아주동 209-4 ,2020-04-22,경양식,상수도전용,운영중,2021-03-04
16,일반음식점,1980-05-22,선창식당,경상남도 거제시 장목면 장목7길 21-1,경상남도 거제시 장목면 장목리 319-28 ,2004-12-02,횟집,상수도전용,운영중,2021-03-04
17,일반음식점,1980-11-01,다래횟집,경상남도 거제시 장목면 외포5길 62 ((1층)),경상남도 거제시 장목면 외포리 131-8 (1층) ,2020-08-21,횟집,상수도전용,운영중,2021-03-04
18,일반음식점,1981-04-03,배가네 참숯구이,"경상남도 거제시 옥포로6길 21-1, 1층 (옥포동)",경상남도 거제시 옥포동 583 1층 ,2018-12-17,식육(숯불구이),상수도전용,운영중,2021-03-04
19,일반음식점,1981-05-21,딱한잔,경상남도 거제시 일운면 지세포해안로 90-5,경상남도 거제시 일운면 지세포리 931-39 ,2019-06-24,정종/대포집/소주방,상수도전용,운영중,2021-03-04
20,일반음식점,1981-10-16,해변식당,경상남도 거제시 동부면 학동6길 30,경상남도 거제시 동부면 학동리 307-4 ,1981-10-16,한식,상수도전용,운영중,2021-03-04
21,일반음식점,1981-09-05,대박칼국수,경상남도 거제시 사등면 성포로 103,경상남도 거제시 사등면 성포리 374-15 ,2020-07-28,분식,상수도전용,운영중,2021-03-04
22,일반음식점,1982-03-30,둥굴관,경상남도 거제시 계룡로 178 (고현동),경상남도 거제시 고현동 752-4 ,2019-06-17,탕류(보신용),상수도전용,운영중,2021-03-04
23,일반음식점,1982-05-31,충남식당,경상남도 거제시 거제중앙로 1883-2 (고현동),경상남도 거제시 고현동 98-27 ,1982-05-31,탕류(보신용),상수도전용,운영중,2021-03-04
24,일반음식점,1982-06-14,오복식당,경상남도 거제시 장승포로 27-1 (장승포동),경상남도 거제시 장승포동 499-14 ,2020-10-13,한식,상수도전용,운영중,2021-03-04
25,일반음식점,1982-08-17,성영식당,"경상남도 거제시 장승포로 49 (장승포동,132.133.134호)",경상남도 거제시 장승포동 283-99 132.133.134호 ,1982-08-17,한식,상수도전용,운영중,2021-03-04
26,일반음식점,1982-08-31,성미식당,경상남도 거제시 두모길 8 (두모동),경상남도 거제시 두모동 366-1 ,2010-06-01,한식,상수도전용,운영중,2021-03-04
27,일반음식점,1982-05-31,그바다에 가면,경상남도 거제시 능포로15길 5 (능포동),경상남도 거제시 능포동 480-47 ,2006-05-25,한식,상수도전용,운영중,2021-03-04
28,일반음식점,1982-09-02,오리명가,경상남도 거제시 능포로2길 55 (능포동),경상남도 거제시 능포동 663-1 ,2013-10-25,식육(숯불구이),상수도전용,운영중,2021-03-04
29,일반음식점,1982-10-20,술자리,경상남도 거제시 옥포성안로 54 (옥포동),경상남도 거제시 옥포동 145-7 ,2020-07-13,정종/대포집/소주방,상수도전용,운영중,2021-03-04
30,일반음식점,1982-12-02,타이거타이거,경상남도 거제시 옥포대첩로2길 27 (옥포동),경상남도 거제시 옥포동 545-28 ,2017-07-12,호프/통닭,상수도전용,운영중,2021-03-04
31,일반음식점,1982-03-08,동부반점,경상남도 거제시 동부면 거제남서로 3081,경상남도 거제시 동부면 산양리 394-3 ,2014-01-27,중국식,상수도전용,운영중,2021-03-04
32,일반음식점,1983-01-07,할매함흥냉면,"경상남도 거제시 신부로1길 2-1 (장승포동,외1필지)",경상남도 거제시 장승포동 283-11 외1필지 ,2004-01-15,냉면집,상수도전용,운영중,2021-03-04
33,일반음식점,1983-01-07,챠우칸,경상남도 거제시 장승포로1길 8 (장승포동),경상남도 거제시 장승포동 517-10 ,2011-06-10,중국식,상수도전용,운영중,2021-03-04
34,일반음식점,1983-06-07,주막포차,경상남도 거제시 장승포로1길 4 (장승포동),경상남도 거제시 장승포동 499-29 ,2018-06-25,분식,상수도전용,운영중,2021-03-04
35,일반음식점,1983-04-23,뚝배기집,경상남도 거제시 옥수로 7 (능포동),경상남도 거제시 능포동 701-8 ,1983-04-23,한식,상수도전용,운영중,2021-03-04
36,일반음식점,1983-08-11,비촌치킨(능포점),경상남도 거제시 능포로 195 (능포동),경상남도 거제시 능포동 449-3 ,2013-04-11,통닭(치킨),상수도전용,운영중,2021-03-04
37,일반음식점,1983-09-17,에그찹김밥(아주점),경상남도 거제시 거제대로 3569 (아주동),경상남도 거제시 아주동 762-3 ,2015-10-23,김밥(도시락),상수도전용,운영중,2021-03-04
38,일반음식점,1983-06-29,삼성돼지국밥,경상남도 거제시 장평1로 138 (장평동),경상남도 거제시 장평동 626-18 ,2016-10-07,탕류(보신용),상수도전용,운영중,2021-03-04
39,일반음식점,1983-11-07,산장어마당 본점,경상남도 거제시 중곡1로2길 13 (고현동),경상남도 거제시 고현동 992-6 ,2020-08-11,한식,상수도전용,운영중,2021-03-04
40,일반음식점,1983-03-29,외포식당,경상남도 거제시 장목면 외포3길 6,경상남도 거제시 장목면 외포리 179-5 ,1983-03-29,한식,상수도전용,운영중,2021-03-04
41,일반음식점,1984-08-06,야이놈들아내갈비내놔라(능포점),경상남도 거제시 능포로2길 51 (능포동),경상남도 거제시 능포동 678-2 ,2001-05-02,식육(숯불구이),상수도전용,운영중,2021-03-04
42,일반음식점,1984-03-08,맥심경양식,,경상남도 거제시 옥포동 322 ,1984-03-08,경양식,상수도전용,운영중,2021-03-04
43,일반음식점,1984-05-03,바우파이오니아,경상남도 거제시 서간도길 16 (옥포동),경상남도 거제시 옥포동 330 ,2020-07-15,경양식,상수도전용,운영중,2021-03-04
44,일반음식점,1984-05-03,옥향,경상남도 거제시 서간도길 16 (옥포동),경상남도 거제시 옥포동 330 ,2020-07-15,한식,상수도전용,운영중,2021-03-04
45,일반음식점,1984-03-05,영남식당,경상남도 거제시 고현로8길 25 (고현동),경상남도 거제시 고현동 120-4 ,1984-03-05,한식,상수도전용,운영중,2021-03-04
46,일반음식점,1984-04-10,신천닭도리,경상남도 거제시 장평1로14길 9 (장평동),경상남도 거제시 장평동 346-76 ,2016-11-21,한식,상수도전용,운영중,2021-03-04
47,일반음식점,1984-09-27,오도리횟집,"경상남도 거제시 고현로10길 9, 1층 (고현동)",경상남도 거제시 고현동 44-31 1층 ,2017-05-08,정종/대포집/소주방,상수도전용,운영중,2021-03-04
48,일반음식점,1984-12-13,대성식당,경상남도 거제시 거제중앙로 1883-2 (고현동),경상남도 거제시 고현동 98-27 ,2015-07-30,한식,상수도전용,운영중,2021-03-04
49,일반음식점,1984-12-06,바다식당,경상남도 거제시 남부면 저구2길 33,경상남도 거제시 남부면 저구리 19-22 ,1984-12-06,한식,상수도전용,운영중,2021-03-04
50,일반음식점,1985-07-07,비턴(능포점),"경상남도 거제시 능포로2길 55, 1층 (능포동)",경상남도 거제시 능포동 663-1 ,2018-05-31,정종/대포집/소주방,상수도전용,운영중,2021-03-04
51,일반음식점,1985-06-20,동은참치전문점,경상남도 거제시 옥포로6길 9 (옥포동),경상남도 거제시 옥포동 159-4 ,2013-06-05,횟집,상수도전용,운영중,2021-03-04
52,일반음식점,1985-05-04,삼국지,경상남도 거제시 옥포로24길 30 (옥포동),경상남도 거제시 옥포동 520-16 ,2012-02-10,중국식,상수도전용,운영중,2021-03-04
53,일반음식점,1985-06-29,미담,경상남도 거제시 거제대로 3807 (옥포동),경상남도 거제시 옥포동 1514-4 ,2019-03-07,식육(숯불구이),상수도전용,운영중,2021-03-04
54,일반음식점,1985-10-31,경주식당,경상남도 거제시 옥포로 215 (옥포동),경상남도 거제시 옥포동 529-8 ,2019-08-19,한식,지하수전용,운영중,2021-03-04
55,일반음식점,1985-10-31,진주식당,경상남도 거제시 옥포로 215 (옥포동),경상남도 거제시 옥포동 529-8 ,1995-10-26,한식,지하수전용,운영중,2021-03-04
56,일반음식점,1985-06-20,남해식당,경상남도 거제시 고현로9길 5 (고현동),경상남도 거제시 고현동 818-17 ,2020-08-11,한식,상수도전용,운영중,2021-03-04
57,일반음식점,1985-08-21,처갓집양념치킨 장평점,경상남도 거제시 장평3로7길 52 (장평동),경상남도 거제시 장평동 626-8 ,1999-10-15,호프/통닭,상수도전용,운영중,2021-03-04
58,일반음식점,1985-11-04,태백산맥,경상남도 거제시 장평1로14길 12 (장평동),경상남도 거제시 장평동 346-94 ,2012-04-18,식육(숯불구이),상수도전용,운영중,2021-03-04
59,일반음식점,1985-08-31,구조라 맛집,경상남도 거제시 일운면 구조라로 30-1 (외1필지),경상남도 거제시 일운면 구조라리 73-2 외1필지 ,2015-07-23,횟집,상수도전용,운영중,2021-03-04
60,일반음식점,1986-11-21,자매쌈밥,경상남도 거제시 능포로 130 (능포동),경상남도 거제시 능포동 680-3 ,2017-08-22,한식,상수도전용,운영중,2021-03-04
61,일반음식점,1986-07-15,바다식당,경상남도 거제시 거제대로 3433-1 (아주동),경상남도 거제시 아주동 209-4 ,2019-06-05,한식,상수도전용,운영중,2021-03-04
62,일반음식점,1986-04-29,황금어장막썰이횟집,경상남도 거제시 옥포성안로 59 (옥포동),경상남도 거제시 옥포동 578 ,2020-09-09,횟집,상수도전용,운영중,2021-03-04
63,일반음식점,1986-12-08,이조삼계탕,"경상남도 거제시 옥포대첩로2길 33-5, 1층 (옥포동)",경상남도 거제시 옥포동 545-43 1층 ,2011-06-28,탕류(보신용),상수도전용,운영중,2021-03-04
64,일반음식점,1986-11-13,지코바숯불치킨,"경상남도 거제시 옥포로 271, 5호동 103호 (옥포동, 한양훼밀리아파트)",경상남도 거제시 옥포동 1881 ,2006-11-09,통닭(치킨),상수도전용,운영중,2021-03-04
65,일반음식점,1986-05-09,소담애,경상남도 거제시 거제중앙로26길 8 (고현동),경상남도 거제시 고현동 961-63 ,2005-08-12,식육(숯불구이),상수도전용,운영중,2021-03-04
66,일반음식점,1986-06-27,강원오식당,"경상남도 거제시 장평3로7길 37 (장평동,(1,2층))","경상남도 거제시 장평동 346-7 (1,2층) ",1986-06-27,한식,상수도전용,운영중,2021-03-04
67,일반음식점,1986-06-28,골목길포장마차,경상남도 거제시 고현로 116 (고현동),경상남도 거제시 고현동 37-10 ,2019-12-27,정종/대포집/소주방,상수도전용,운영중,2021-03-04
68,일반음식점,1986-07-30,카페부엌,경상남도 거제시 동부면 학동6길 28,경상남도 거제시 동부면 학동리 303 ,2020-05-27,한식,상수도전용,운영중,2021-03-04
69,일반음식점,1986-10-15,솔밭횟집,경상남도 거제시 사등면 두동로 18,경상남도 거제시 사등면 사곡리 872-5 ,2017-07-28,횟집,상수도(음용)지하수(주방용)겸용,운영중,2021-03-04
70,일반음식점,1986-09-05,소반,경상남도 거제시 사등면 사등2길 13,경상남도 거제시 사등면 사등리 424-10 ,2017-03-10,한식,상수도전용,운영중,2021-03-04
71,일반음식점,1986-10-31,바다양푼이동태탕(거제하청점),경상남도 거제시 하청면 하청로 14,경상남도 거제시 하청면 하청리 660-19 ,2019-02-12,한식,상수도전용,운영중,2021-03-04
72,일반음식점,1986-09-30,해금강하우스,경상남도 거제시 남부면 해금강3길 35 (외3필지),경상남도 거제시 남부면 갈곶리 80-15 외3필지 ,2011-05-03,한식,상수도전용,운영중,2021-03-04
73,일반음식점,1987-02-09,할매집,경상남도 거제시 고현로8길 25 (고현동),경상남도 거제시 고현동 120-2 ,2010-12-08,정종/대포집/소주방,상수도전용,운영중,2021-03-04
74,일반음식점,1987-03-17,한밭식당,경상남도 거제시 장평1로12길 36 (장평동),경상남도 거제시 장평동 346-109 ,1987-03-17,한식,상수도전용,운영중,2021-03-04
75,일반음식점,1987-05-06,봄을닮은한끼,경상남도 거제시 장평3로 42 (장평동),경상남도 거제시 장평동 319-9 ,2018-12-26,한식,상수도전용,운영중,2021-03-04
76,일반음식점,1987-08-08,바다횟집,경상남도 거제시 장평1로14길 10 (장평동),경상남도 거제시 장평동 341-5 ,1997-08-30,횟집,상수도전용,운영중,2021-03-04
77,일반음식점,1987-08-08,황고집소금구이,경상남도 거제시 장평3로7길 29-5 (장평동),경상남도 거제시 장평동 346-36 ,2021-01-28,식육(숯불구이),상수도전용,운영중,2021-03-04
78,일반음식점,1987-07-16,대교아구찜,경상남도 거제시 사등면 거제남서로 5340,경상남도 거제시 사등면 덕호리 110-107 ,2019-03-07,한식,상수도전용,운영중,2021-03-04
79,일반음식점,1987-06-11,인덕식당,경상남도 거제시 하청면 하청로 17,경상남도 거제시 하청면 하청리 658-4 ,1987-06-11,한식,상수도전용,운영중,2021-03-04
80,일반음식점,1988-04-04,서울깍두기,"경상남도 거제시 능포로2길 59, 2층 (능포동)",경상남도 거제시 능포동 664-1 ,2012-02-23,탕류(보신용),상수도전용,운영중,2021-03-04
81,일반음식점,1988-07-16,오다가다,경상남도 거제시 거제대로 3443-1 (아주동),경상남도 거제시 아주동 452-2 ,2017-06-14,정종/대포집/소주방,상수도전용,운영중,2021-03-04
82,일반음식점,1988-04-12,야레나,"경상남도 거제시 서간도길 16 (옥포동,외4필지)",경상남도 거제시 옥포동 330 외4필지 ,2020-10-16,뷔페식,상수도전용,운영중,2021-03-04
83,일반음식점,1988-06-22,키친187,경상남도 거제시 옥포로 170-1 (옥포동),경상남도 거제시 옥포동 548-9 ,2017-12-08,한식,상수도전용,운영중,2021-03-04
84,일반음식점,1988-11-29,왕뼈랑돌솥이랑,경상남도 거제시 옥포대첩로4길 27 (옥포동),경상남도 거제시 옥포동 491-2 ,2019-06-18,한식,상수도전용,운영중,2021-03-04
85,일반음식점,1988-12-30,중앙식육식당,경상남도 거제시 옥포로 215 (옥포동),경상남도 거제시 옥포동 529-8 ,2018-01-08,식육(숯불구이),지하수전용,운영중,2021-03-04
86,일반음식점,1988-01-08,제일식당,경상남도 거제시 거제중앙로 1830 (고현동),경상남도 거제시 고현동 238-11 ,2002-08-06,한식,상수도전용,운영중,2021-03-04
87,일반음식점,1988-04-15,한길목,"경상남도 거제시 고현로2길 50 (고현동,(1층))",경상남도 거제시 고현동 160-6 (1층) ,2019-02-21,한식,상수도전용,운영중,2021-03-04
88,일반음식점,1988-06-02,토지감자탕,경상남도 거제시 고현로6길 7 (고현동),경상남도 거제시 고현동 805 ,2014-07-22,한식,상수도전용,운영중,2021-03-04
89,일반음식점,1988-06-22,노을,경상남도 거제시 고현로2길 5 (고현동),경상남도 거제시 고현동 756 ,2007-06-12,한식,상수도전용,운영중,2021-03-04
90,일반음식점,1988-09-28,장어한마리식당,경상남도 거제시 거제중앙로 1912-3 (고현동),경상남도 거제시 고현동 961-72 ,1998-12-09,한식,상수도전용,운영중,2021-03-04
91,일반음식점,1988-10-08,성만,"경상남도 거제시 상동1길 60, 1층 (상동동)",경상남도 거제시 상동동 71-18 ,1988-10-08,중국식,지하수전용,운영중,2021-03-04
92,일반음식점,1988-11-19,산골식당,"경상남도 거제시 장평3로7길 45-1 (장평동,(1층))",경상남도 거제시 장평동 346-12 (1층) ,2008-05-28,한식,상수도전용,운영중,2021-03-04
93,일반음식점,1988-11-30,털보네분식,"경상남도 거제시 서문로 80 (고현동,중앙빌딩 104호)",경상남도 거제시 고현동 961-178 중앙빌딩 104호 ,1988-11-30,분식,상수도전용,운영중,2021-03-04
94,일반음식점,1988-12-06,중국요리몽&허가밀면,경상남도 거제시 고현로11길 13 (고현동),경상남도 거제시 고현동 961-164 ,2017-06-16,중국식,상수도전용,운영중,2021-03-04
95,일반음식점,1988-06-28,학동회식당,경상남도 거제시 동부면 학동6길 26,경상남도 거제시 동부면 학동리 301 ,2018-07-24,횟집,상수도전용,운영중,2021-03-04
96,일반음식점,1988-03-21,장모님치킨 거제점,경상남도 거제시 거제면 읍내로 27,경상남도 거제시 거제면 동상리 488-4 ,2008-09-11,호프/통닭,상수도전용,운영중,2021-03-04
97,일반음식점,1988-12-31,거제기사식당,경상남도 거제시 거제면 거제남서로 3394,경상남도 거제시 거제면 남동리 29-405 ,2011-07-06,한식,상수도전용,운영중,2021-03-04
98,일반음식점,1988-03-21,오색집,경상남도 거제시 거제면 기성로 28-1,경상남도 거제시 거제면 남동리 104 ,2008-01-31,한식,상수도전용,운영중,2021-03-04
99,일반음식점,1988-06-13,함지박,,경상남도 거제시 거제면 서정리 753 ,1988-06-13,중국식,상수도전용,운영중,2021-03-04
100,일반음식점,1988-08-12,미담식당,경상남도 거제시 둔덕면 하둔길 72,경상남도 거제시 둔덕면 하둔리 80-41 ,2020-06-30,한식,상수도전용,운영중,2021-03-04
101,일반음식점,1988-04-08,자매닭.오리숯불구이,경상남도 거제시 장목면 시방2길 32,경상남도 거제시 장목면 시방리 195-22 ,2015-07-24,식육(숯불구이),상수도전용,운영중,2021-03-04
102,일반음식점,1989-02-13,새장승포식당,경상남도 거제시 장승포로2길 19 (장승포동),경상남도 거제시 장승포동 699-4 ,2020-10-21,횟집,상수도전용,운영중,2021-03-04
103,일반음식점,1989-03-30,밀향루,경상남도 거제시 신부로1길 23 (장승포동),경상남도 거제시 장승포동 321 ,1999-03-12,탕류(보신용),상수도전용,운영중,2021-03-04
104,일반음식점,1989-06-14,풍성식당,경상남도 거제시 옥수로2길 10 (능포동),경상남도 거제시 능포동 633-215 ,2017-10-13,한식,상수도전용,운영중,2021-03-04
105,일반음식점,1989-07-20,소연포차,"경상남도 거제시 옥수로10길 35, 42호 (능포동)",경상남도 거제시 능포동 655-7 ,2012-01-13,정종/대포집/소주방,상수도전용,운영중,2021-03-04
106,일반음식점,1989-10-28,내갈비내놔라,경상남도 거제시 거제대로 3445-3 (아주동),경상남도 거제시 아주동 453-1 ,2016-08-29,식육(숯불구이),상수도전용,운영중,2021-03-04
107,일반음식점,1989-03-30,합성동얼큰이,경상남도 거제시 거제대로 3736 (옥포동),경상남도 거제시 옥포동 546-26 ,2005-05-19,분식,상수도전용,운영중,2021-03-04
108,일반음식점,1989-12-27,천지수오리보감,경상남도 거제시 옥포대첩로2길 33-4 (옥포동),경상남도 거제시 옥포동 547-3 ,2011-09-26,식육(숯불구이),상수도전용,운영중,2021-03-04
109,일반음식점,1989-03-27,영지식당,경상남도 거제시 장평3로2길 15 (장평동),경상남도 거제시 장평동 85-10 ,1989-03-27,한식,지하수전용,운영중,2021-03-04
110,일반음식점,1989-04-08,호반의별장,"경상남도 거제시 문동폭포길 49 (문동동,,89-1)","경상남도 거제시 문동동 88-1 ,89-1 ",2020-12-22,한식,지하수전용,운영중,2021-03-04
111,일반음식점,1989-07-20,백숙이네꽃돼지,"경상남도 거제시 거제중앙로 1900 (고현동, (2층))",경상남도 거제시 고현동 961-188 ,2018-04-04,식육(숯불구이),상수도전용,운영중,2021-03-04
112,일반음식점,1989-09-12,블루로드,"경상남도 거제시 거제중앙로 1889 (고현동, (2층))",경상남도 거제시 고현동 98-6 ,2016-05-18,까페,상수도전용,운영중,2021-03-04
113,일반음식점,1989-09-21,버거홀릭,경상남도 거제시 장평3로7길 11 (장평동),경상남도 거제시 장평동 346-107 ,2014-04-11,패스트푸드,상수도전용,운영중,2021-03-04
114,일반음식점,1989-10-24,소망통닭,,경상남도 거제시 장목면 장목리 309-5 ,1989-10-24,통닭(치킨),상수도전용,운영중,2021-03-04
115,일반음식점,1990-10-26,옛날식당,"경상남도 거제시 능포로 134-2 (능포동,(127호))",경상남도 거제시 능포동 680-7 (127호) ,2013-07-31,한식,상수도전용,운영중,2021-03-04
116,일반음식점,1990-09-10,멕시카나 아주대우점,경상남도 거제시 거제대로 3433-1 (아주동),경상남도 거제시 아주동 209-4 ,1998-11-12,통닭(치킨),상수도전용,운영중,2021-03-04
117,일반음식점,1990-11-09,하오츠퓨전철판요리점,"경상남도 거제시 옥포대첩로4길 39, 1층 (옥포동)",경상남도 거제시 옥포동 360-3 ,2006-10-02,한식,상수도전용,운영중,2021-03-04
118,일반음식점,1990-05-14,솔밭식당,"경상남도 거제시 옥포대첩로 72, 1층 (옥포동)",경상남도 거제시 옥포동 644 ,2010-03-10,탕류(보신용),상수도전용,운영중,2021-03-04
119,일반음식점,1990-06-21,마마스경양식,경상남도 거제시 옥포대첩로2길 24 (옥포동),경상남도 거제시 옥포동 546-4 ,2008-09-02,경양식,상수도전용,운영중,2021-03-04
120,일반음식점,1990-12-06,호박,경상남도 거제시 옥포대첩로4길 39 (옥포동),경상남도 거제시 옥포동 360-3 ,2018-08-21,경양식,상수도전용,운영중,2021-03-04
121,일반음식점,1990-12-18,도밍고레스토랑,경상남도 거제시 옥포로 186 (옥포동),경상남도 거제시 옥포동 544-4 ,1990-12-18,경양식,상수도전용,운영중,2021-03-04
122,일반음식점,1990-03-21,블루타이거(BlueTiger),경상남도 거제시 거제중앙로23길 10 (고현동),경상남도 거제시 고현동 961-129 ,2019-07-04,정종/대포집/소주방,상수도전용,운영중,2021-03-04
123,일반음식점,1990-03-21,갈매기횟집,경상남도 거제시 장평3로7길 60 (장평동),경상남도 거제시 장평동 346-56 ,2013-06-03,횟집,상수도전용,운영중,2021-03-04
124,일반음식점,1990-05-25,우리산장,경상남도 거제시 문동폭포길 99 (문동동),경상남도 거제시 문동동 24 ,1990-05-25,한식,지하수전용,운영중,2021-03-04
125,일반음식점,1990-08-11,숙성고,경상남도 거제시 장평1로14길 27 (장평동),경상남도 거제시 장평동 346-82 ,2021-01-18,식육(숯불구이),상수도전용,운영중,2021-03-04
126,일반음식점,1990-11-26,복어촌,"경상남도 거제시 계룡로 134 (고현동,.5(지층))",경상남도 거제시 고현동 720-4 .5(지층) ,2002-03-22,복어취급,상수도전용,운영중,2021-03-04
127,일반음식점,1990-05-23,해녀식당,경상남도 거제시 동부면 학동6길 24,경상남도 거제시 동부면 학동리 300 ,2018-01-19,횟집,상수도전용,운영중,2021-03-04
128,일반음식점,1990-09-15,정든횟집(2호점),경상남도 거제시 동부면 학동6길 12,경상남도 거제시 동부면 학동리 291-1 ,2012-02-16,횟집,상수도전용,운영중,2021-03-04
129,일반음식점,1990-11-09,회원식당,경상남도 거제시 둔덕면 거제남서로 5066,경상남도 거제시 둔덕면 학산리 150-1 ,1990-11-09,탕류(보신용),상수도전용,운영중,2021-03-04
130,일반음식점,1990-06-21,목화밭식당,경상남도 거제시 사등면 두동로 80-6,경상남도 거제시 사등면 사곡리 830-3 ,1990-06-21,한식,지하수전용,운영중,2021-03-04
131,일반음식점,1990-07-13,이모네집밥,경상남도 거제시 남부면 저구2길 38,경상남도 거제시 남부면 저구리 217-12 ,2018-05-04,한식,상수도전용,운영중,2021-03-04
132,일반음식점,1990-03-07,부경밥상집,경상남도 거제시 남부면 저구2길 37,경상남도 거제시 남부면 저구리 217-1 ,2007-07-13,한식,상수도전용,운영중,2021-03-04
133,일반음식점,1991-08-21,해양식당,경상남도 거제시 신부로1길 14-1 (장승포동),경상남도 거제시 장승포동 283-1 ,1991-08-21,복어취급,상수도전용,운영중,2021-03-04
134,일반음식점,1991-10-22,버드나무,경상남도 거제시 두모길 6-1 (두모동),경상남도 거제시 두모동 367-3 ,2014-10-01,한식,상수도전용,운영중,2021-03-04
135,일반음식점,1991-10-10,서울식당,경상남도 거제시 옥수로10길 33 (능포동),경상남도 거제시 능포동 612-76 ,2014-04-10,한식,상수도전용,운영중,2021-03-04
136,일반음식점,1991-11-02,청운국밥,경상남도 거제시 옥수로1길 3 (능포동),경상남도 거제시 능포동 710-3 ,1997-03-11,한식,상수도전용,운영중,2021-03-04
137,일반음식점,1991-11-13,띠아모호프,"경상남도 거제시 능포로 124 (능포동,외 1필지)",경상남도 거제시 능포동 764-109 외 1필지 ,2021-02-01,호프/통닭,상수도전용,운영중,2021-03-04
138,일반음식점,1991-01-10,마시왕,경상남도 거제시 옥포로10길 11 (옥포동),경상남도 거제시 옥포동 544-19 ,2016-07-20,식육(숯불구이),상수도전용,운영중,2021-03-04
139,일반음식점,1991-11-18,초우정,경상남도 거제시 옥포로 194 (옥포동),경상남도 거제시 옥포동 540-18 ,1996-09-05,한식,상수도전용,운영중,2021-03-04
140,일반음식점,1991-08-08,아이앤지(ing),경상남도 거제시 옥포로 246 (옥포동),경상남도 거제시 옥포동 1293-2 ,2019-04-05,정종/대포집/소주방,상수도전용,운영중,2021-03-04
141,일반음식점,1991-07-19,육육국밥,경상남도 거제시 장평3로7길 25 (장평동),경상남도 거제시 장평동 346-45 ,2016-11-14,한식,상수도전용,운영중,2021-03-04
142,일반음식점,1991-05-07,장미식당,경상남도 거제시 거제중앙로 1910-3 (고현동),경상남도 거제시 고현동 961-80 ,2002-05-29,한식,상수도전용,운영중,2021-03-04
143,일반음식점,1991-08-14,포차어게인 고현점,경상남도 거제시 거제중앙로26길 10 (고현동),경상남도 거제시 고현동 961-65 ,2019-01-18,정종/대포집/소주방,상수도전용,운영중,2021-03-04
144,일반음식점,1991-09-06,브룩스(BROOKS),"경상남도 거제시 장평3로7길 13, 2층 (장평동)",경상남도 거제시 장평동 346-106 ,2021-02-09,정종/대포집/소주방,상수도전용,운영중,2021-03-04
145,일반음식점,1991-09-12,초우정산오징어,경상남도 거제시 고현로11길 13 (고현동),경상남도 거제시 고현동 961-164 ,2020-04-29,횟집,상수도전용,운영중,2021-03-04
146,일반음식점,1991-09-18,생대복식당,"경상남도 거제시 중곡로1길 28-1, 1층 (고현동)",경상남도 거제시 고현동 1010-6 ,1999-02-05,복어취급,상수도전용,운영중,2021-03-04
