연번,업종명,인허가일자,업소명,소재지,소재지(지번),영업자시작일,업태명,급수시설,영업상태,데이터기준일
2668,일반음식점,2015-12-02,막썰어 횟집,"경상남도 거제시 옥포로12길 9, 1층 (옥포동)",경상남도 거제시 옥포동 540-27 ,2015-12-02,횟집,상수도전용,운영중,2021-03-04
2669,일반음식점,2015-12-02,모정해물탕,"경상남도 거제시 중곡로3길 32-3, 1층 (고현동)",경상남도 거제시 고현동 1002-5 1층 ,2017-01-31,분식,상수도전용,운영중,2021-03-04
2670,일반음식점,2015-12-04,계룡산숯불갈비,"경상남도 거제시 상동5길 14, 1층 (상동동)",경상남도 거제시 상동동 218-1 (1층) ,2015-12-04,식육(숯불구이),상수도전용,운영중,2021-03-04
2671,일반음식점,2015-12-04,청년다방 거제고현점,"경상남도 거제시 고현로11길 13, 1층 (고현동)",경상남도 거제시 고현동 961-164 1층 ,2021-01-27,기타,상수도전용,운영중,2021-03-04
2672,일반음식점,2015-12-04,어락참치 아주점,"경상남도 거제시 아주1로 10, 1층 (아주동)",경상남도 거제시 아주동 1692-6 1층 ,2020-06-24,일식,상수도전용,운영중,2021-03-04
2673,일반음식점,2015-12-07,원횟집,"경상남도 거제시 고현로11길 19, 1층 101호 (고현동)",경상남도 거제시 고현동 961-67 1층 101호,2019-09-24,일식,상수도전용,운영중,2021-03-04
2674,일반음식점,2015-12-07,헤이밍,"경상남도 거제시 거제중앙로 1897, 2층 (고현동)",경상남도 거제시 고현동 820-7 (2층) ,2017-04-27,패밀리레스트랑,상수도전용,운영중,2021-03-04
2675,일반음식점,2015-12-08,바다의왕자막썰이횟집,"경상남도 거제시 장평3로3길 41, 상가동 1층 101호 (장평동, 일성한빛타운)",경상남도 거제시 장평동 726 일성한빛타운 상가동 101호,2019-09-16,횟집,지하수전용,운영중,2021-03-04
2676,일반음식점,2015-12-08,교촌치킨(아주점),"경상남도 거제시 아주로 68, 1층 (아주동)",경상남도 거제시 아주동 1695-14 1층 ,2017-06-05,호프/통닭,상수도전용,운영중,2021-03-04
2677,일반음식점,2015-12-08,착한명태 거제아주점,"경상남도 거제시 용소1길 14, 1층 101호 (아주동)",경상남도 거제시 아주동 1662-3 101호,2019-11-01,한식,상수도전용,운영중,2021-03-04
2678,일반음식점,2015-12-09,아주맛있는뒷고기,"경상남도 거제시 아주1로1길 12, 1층 (아주동)",경상남도 거제시 아주동 1700-18 ,2020-09-08,식육(숯불구이),상수도전용,운영중,2021-03-04
2679,일반음식점,2015-12-10,두리원,"경상남도 거제시 거제대로 4943-8, 1~2층 (장평동)",경상남도 거제시 장평동 840 ,2018-02-28,식육(숯불구이),상수도전용,운영중,2021-03-04
2680,일반음식점,2015-12-10,백만석식당,"경상남도 거제시 둔덕면 거제남서로 4538, 1층",경상남도 거제시 둔덕면 하둔리 467-1 ,2020-03-18,한식,상수도전용,운영중,2021-03-04
2681,일반음식점,2015-12-14,대구반야월막창(상동점),"경상남도 거제시 상동5길 75-16, 1층 (상동동)",경상남도 거제시 상동동 849 1층 ,2020-10-28,식육(숯불구이),상수도전용,운영중,2021-03-04
2682,일반음식점,2015-12-16,꽃하우스,"경상남도 거제시 일운면 지세포로 89-1, 1층",경상남도 거제시 일운면 지세포리 1001-8 ,2019-05-29,정종/대포집/소주방,상수도전용,운영중,2021-03-04
2683,일반음식점,2015-12-21,이모네왕족발,"경상남도 거제시 사등면 견내량1길 6, 1층",경상남도 거제시 사등면 덕호리 138-12 1층 ,2015-12-21,한식,상수도전용,운영중,2021-03-04
2684,일반음식점,2015-12-28,신통치킨&알통떡강정(고현점),"경상남도 거제시 거제중앙로 1821, 1층 (고현동)",경상남도 거제시 고현동 173-3 1층 ,2017-03-16,호프/통닭,상수도전용,운영중,2021-03-04
2685,일반음식점,2015-12-29,자존심,"경상남도 거제시 아주1로 24, 1층 (아주동)",경상남도 거제시 아주동 1690-6 ,2016-07-12,한식,상수도전용,운영중,2021-03-04
2686,일반음식점,2015-12-29,홍짜장(거제덕산점),"경상남도 거제시 장평4로 57, 2층 202호 (장평동, 그린피아)",경상남도 거제시 장평동 134-5 2층 그린피아 202호,2015-12-29,중국식,상수도전용,운영중,2021-03-04
2687,일반음식점,2015-12-29,레이나,"경상남도 거제시 제산로 4-6, 1층 (양정동)",경상남도 거제시 양정동 954-1 1층 ,2020-09-02,경양식,상수도전용,운영중,2021-03-04
2688,일반음식점,2015-12-30,방구족발 거제상동점,"경상남도 거제시 상동5길 75-16, 1층 101호 (상동동)",경상남도 거제시 상동동 849 1층 101호,2019-01-31,호프/통닭,상수도전용,운영중,2021-03-04
2689,일반음식점,2015-12-30,유미가,"경상남도 거제시 일운면 지세포해안로 88, 1층",경상남도 거제시 일운면 지세포리 929-1 ,2017-09-22,탕류(보신용),상수도전용,운영중,2021-03-04
2690,일반음식점,2015-12-31,더테라스(The Terrace),"경상남도 거제시 옥포로 148, 2층 (옥포동)",경상남도 거제시 옥포동 177-1 ,2018-12-19,경양식,상수도전용,운영중,2021-03-04
2691,일반음식점,2016-01-06,비에이치시(BHC)거제동부점,"경상남도 거제시 동부면 거제남서로 3084, 1동 1층",경상남도 거제시 동부면 산양리 396 1동 1호,2016-01-06,호프/통닭,상수도전용,운영중,2021-03-04
2692,일반음식점,2016-01-11,불소식당(거제장평점),"경상남도 거제시 장평4로 57, 2층 201, 202호 (장평동, 그린피아)",경상남도 거제시 장평동 134-5 그린피아 2층 201~2호,2016-01-11,식육(숯불구이),상수도전용,운영중,2021-03-04
2693,일반음식점,2016-01-13,막창도둑 장평점,"경상남도 거제시 장평로4길 17, 1층 (장평동)",경상남도 거제시 장평동 1195-5 ,2016-01-13,한식,상수도전용,운영중,2021-03-04
2694,일반음식점,2016-01-14,커피랑맥주랑,"경상남도 거제시 고현로 117, B동 2층 209,210호 (고현동, 중앙빌딩)",경상남도 거제시 고현동 41-8 ,2020-01-06,정종/대포집/소주방,상수도전용,운영중,2021-03-04
2695,일반음식점,2016-01-15,이춘봉인생치킨 장평점,"경상남도 거제시 장평2로4길 11, 식당동107동 (장평동, 거제장평사원숙소)",경상남도 거제시 장평동 산 24-8 ,2020-04-10,호프/통닭,상수도전용,운영중,2021-03-04
2696,일반음식점,2016-01-15,세븐치킨 고현점,"경상남도 거제시 고현로10길 13, 1동 (고현동)",경상남도 거제시 고현동 93-1 1동 ,2016-01-15,호프/통닭,상수도전용,운영중,2021-03-04
2697,일반음식점,2016-01-18,명품소머리국밥,"경상남도 거제시 장평3로7길 50-2, 2층 (장평동)",경상남도 거제시 장평동 626-6 ,2017-03-02,한식,상수도전용,운영중,2021-03-04
2698,일반음식점,2016-01-18,찌개마을,"경상남도 거제시 고현로8길 27, 천우상가B동 1층 130호 (고현동)",경상남도 거제시 고현동 120-4 천우상가 B동 130호,2017-12-26,한식,상수도전용,운영중,2021-03-04
