순번,업소명,주 취급음식,소재지,영업면적(㎡),전화번호,데이터기준일
1,의령소바,소바,경상남도 의령군 의령읍 의병로 18길 3-5,137.36,055-572-0885,2020-12-11
2,양평해장국,"해장국,내장탕",경상남도 의령군 의령읍 충익로 16-5,80,055-573-0025,2020-12-11
3,돼지사랑,돼지족발,경상남도 의령군 의령읍 충익로 34-1,71.63,055-573-0331,2020-12-11
4,6.3숯불촌,"돼지갈비, 삼겹살",경상남도 의령군 의령읍 의병로 260-1,151.43,055-572-6363,2020-12-11
5,오리궁,"오리불고기, 오리로스구이",경상남도 의령군 의령읍 벽화로 557,124,055-573-6100,2020-12-11
6,산마루,오리불고기,경상남도 의령군 대의면 의병대로 241-30,98.36,055-574-7722,2020-12-11
7,금오암소한마당,"쇠고기갈비살, 등심",경상남도 의령군 대의면 대의로 53-7,412.17,055-572-9400,2020-12-11
8,대백해물마을,"해물탕,오리불고기",경상남도 의령군 유곡면 함의로 2256,172.31,055-574-4949,2020-12-11
