순번,분류,상호명,대표자명,소재지,특화거리,영업시간,휴무일,좌석수,홈페이지,업체소개,주차정보,화장실정보,해당여부,,,,,,,,,,,,,,좌표,,대표음식 해당여부,,,,,,,,,,,,,주변분류,판매 메뉴
,,,,,,,,,,,,,무슬림친화,채식여부,안심식당,모범업소,장애인시설,외국어가능,조식가능,예약가능,유아시설,1인식사,포장가능,배달가능,와이파이사용,상품권사용,경도,위도,과메기,대게,등푸른막회,회/물회,백숙,산채비빔밥,삼겹살,생선구이,아구찜,장어,조개구이,치킨,해신탕,,
283,한식,흑돈명가,박인순,경북 포항시 남구 포스코대로 330-5 (상도동),,10:00~22:00,매주일요일,테이블 15개,,"지리산흑돼지전문점입니다
황금불판사용으로 고기의맛을한층 높였으며
친절한 서비스와 건강한 먹거리로 모십니다
단체석도완비되어있습니다
",,남녀구분,,,,,,,,y,,,y,,y,y,129.3592986,36.01779066,,,,,,,y,,,,,,,,"돼지모듬구이, 흑돼지 오겹살, 쫄띠기정식, 차돌박이정식, "
284,횟집,흥미회식당,이미애,"경북 포항시 남구 희망대로 1177, 1층 (송도동)",송도카페문화거리,10:00~23:00,연중무휴,테이블 15개,,"송도중심지인 여신상 바로앞에위치하여
현지인들은물론 관광객들도 많이찾으십니다
사시사철 다양한 어종을 맛보실수잇으며
겨울에는 과메기 대게도 인기메뉴입니다",공영주차장,남녀공용,,,,,,,,y,,,y,,y,y,129.3802097,36.03460721,y,,,y,,,,,,,,,,전망좋은맛집,"자연산회, 일반회, 전복회, 도다리.돔.농어.이시가리, 물회, 해삼모듬, 우럭매운탕, 전복죽, "
285,횟집,흥해물회,이시형,"경북 포항시 북구 흥해읍 중성로 73, 1층",,10:00~22:00,월요일 매주,테이블 16개,,흥해에서 소문난 횟집,근처 갓길에 주차,남녀구분,,,,,,,,,,,y,,y,y,129.3513082,36.10915257,,,,y,,,,,,,,,,,"모듬회, 자연산 회, 일반물회, 자연산 물회, 오징어물회, 흥해특물회, 횟밥, 자연산횟밥, 전복죽, 술안주물회, 생우럭매운탕, 멍게비빔밥, "
286,정육식당,가야생오리,김매리,경북 포항시 북구 새마을로 122 (용흥동),,12:00~21:00,연중무휴,19석,,"오리의 맛을 다양하게 맛볼수 있는 오리전문점입니다
입소문이 난 집이라 예약은 필수이며 여러모임, 회식장소로도 좋습니다
각종 푸짐한 쌈싸먹을 반찬이 아주 다양합니다
담백하고 깔끔한 맛을 원하신다면 친절히 대접하겠습니다.",20대,남녀공용,,,,,,,,y,,,,,y,y,129.3479189,36.04280226,,,,,y,,,,,,,,,,"오리샤브구이(한마리), 오리샤브구이(한마리 반), 오리주물럭(한마리), 오리수육(한마리), 오리백숙(한마리), "
287,한식,가영산장,황경숙,경북 포항시 남구 연일읍 자명로 223,,11:00~21:00,휴무연중무휴,테이블 30개,,"식당이 영업한지 32년됐는 바베큐 전문점 입니다.
단체손님과 개인손님들이 많이 오시고 단체손님들이 오시면 바베큐를 많이드시고 개인손님들이 오시면 소불고기를 많이 드시로 오십니다
그리고 가족끼리 오시면 2층방을 원하시면 예약을 하면서 잡아줄수도 있습니다.
브레이크 타임:15:00~17:00입니다",식당앞 주차가능,남녀구분,,,,,,,,y,,,y,,y,y,129.3029626,36.01838701,,,,,,,,,,,,,,,"갈비 바베큐, 등심 된장전골, 소 불고기, 소고기국밥, 버섯들깨탕, 된장정식, 도토리 묵, 오징어 부추전, 된장찌개, 공깃밥, 국수, 비빔국수, 양념오리 철판, 닭/오리 백숙, 갈비바베큐1짝, 통돼지바베큐, "
288,한식,계림상황삼계탕.오리,김해중 외 1명,"경북 포항시 북구 천마로46번길 34, 1층 (양덕동)",,10:00~22:00,x,테이블 30개,,"맛과 향이 깊고, 국물이 특유의 황금색을 띄고 있으며 상황버섯을 사용하였기 때문에
천연약수와도 같은 삼계탕입니다.",3대,남녀구분,,,,,,,,,,,y,y,y,y,129.4008441,36.08053167,,,,,y,,y,,,,,,,,"약수삼계탕, 한방삼계탕, 들깨삼계탕, 흑마늘삼계탕, 닭불고기, 오리버섯불고기, 능이오리한방백숙, "
289,,금동꼼장어&amp;오리,김정래,경북 포항시 남구 오천읍 하원로4번길 29-8 (1층),,10:00~10:00,1.3일요일,28석,,국내산 곰장어와 오리,12대,"남녀구분, 장애우 화장실 없음",,,,,,,,y,,,,,,y,129.4083561,35.97146875,,,,,y,,,,,y,,,,,"양념/소금곰장어, 옻오리백숙, 오리백숙, 오리양념, 삼계탕, "
290,기타,금산건강삼계탕,김영선,"경북 포항시 북구 청하면 동해대로 2609, 1층",,10:00~21:00,"명철(설날, 추석)",테이블 12개,,"우리 식당은 삼계탕과 곰탕 전문점입니다. 능이버섯삼계탕이 가장 인기가 좋은데 한방 재료는 모두 국산으로만 사용합니다.
오가피는 영천, 버섯은 강구에서 가져오며 재료가 신선해서 맛이 깔끔하고 담백합니다.",승용차 15대,남녀구분,,,,,,,,y,,,y,,,,129.35188,36.19941761,,,,,y,,,,,,,,,수목원주변,"참옻전복삼계탕, 전복능이삼계탕, 건강삼계탕, 참옻삼계탕, 소머리곰탕, 수육, "
291,한식,금산삼계탕고디탕,엄후불,경북 포항시 북구 중흥로 145 (죽도동),,10:00~22:00,명절 당일 ,테이블 25개,,삼계탕류 위주로 판매하는 일반음식점입니다,대형주차장 구비,남녀구분 ,,,,,,,,y,,y,y,y,y,y,129.3533439,36.01767887,,,,,y,,,,,,,,,,"들깨삼계탕, 낙지삼계탕, 전복삼계탕, 한우 소머리 곰탕, 매운닭발, "
292,한식,낙동생오리,장후기,경북 포항시 남구 효자동길5번길 15 (효자동),,11:00~22:00,무휴,120석,,신선한 오리로 다양한 요리를 즐길 수 있는 건강식 요리입니다,"공용주차장,주변도로",남녀구분,,,,,,,,y,,y,y,,y,y,129.328534,36.00744392,,,,,,,,,,,,,,,"생오리참숯구이, 양념주물럭, 오리덮밥, 통훈제, "
293,한식,낙동생오리,임중업,"경북 포항시 북구 장량로140번길 30, 1층 (장성동)",,10:00~21:00,연중무휴,테이블 28개,,생오리 전문점,20대가능,남녀구분,,,,,,,,y,y,,,,y,y,129.3958231,36.07912793,,,,,y,,,,,,,,,,"생오리 숯불구이, 생오리 양념주물럭, 샤브오리 구이, 상차림 반마리(2인기준), 통훈제, "
294,한식,낙원가든,여다겸,경북 포항시 북구 흥해읍 도음로 847,,10:00~22:00,매주 월요일,테이블 40개,,흥해 최고 백숙 맛집,대형주자창완비,남녀구분,,,,,,,,y,,,y,y,y,,129.3259811,36.07891172,,,,,y,,,,,,,,,,"삼계탕, 옻삼계탕, 토종닭백숙, 토종옻닭백숙, 닭볶음탕, 오골계백숙, 옻오골계백숙, 오리백숙, 옻오리백숙, 오리불고기, "
295,,당수골농장가든,김규호,경북 포항시 북구 신광면 비학로 380,,10:00~20:00,휴무연중무휴,테이블 7개,,"토종닭과 오리불고기가 가장 인기가 많습니다.
닭을 직접 집에서 길러 육질이 쫄깃쫄깃한 토종닭으로 정말 맛있습니다. 옻도 집에 직접 심어서 사용합니다.",승용차 20대,남녀공용,,,,,,,,y,,,y,,,,129.2521396,36.0890619,,,,,y,,,,,,,,,,"옻닭, 한방백숙, 닭도리탕, 한방오리백숙, 오리불고기, 삼계탕, "
296,한식,도니랑오리랑,김경남,"경북 포항시 남구 축항로 10, 1층 103호 (해도동)",,17:00~23:00,매주 월요일,테이블 6개,,"고기와 오리를 같이 판매하는 곳 입니다
한 곳에서 오리고기와 돼지고기를 맛 볼수 있습니다
더욱 놀라운건 국내산 갈치찌개도 맛을 볼수 있으며 해산물집에서 판매하는 연포탕까지 맛 볼수있는 포항의 유일한 곳입니다",,남녀공용,,,,,,,,,,,y,,,y,129.3696466,36.02854403,,,,,y,,,,,,,,,,"삼겹살, 대패삼겹살, 집밥정식(주물럭), 훈제오리구이, 약오리백숙, "
297,,도토리마을,윤종숙,경북 포항시 남구 오천읍 냉천로 364,,10:00~20:00,연중무휴,방갈로 ,,"방갈로가 있어 다른 손님들에게 방해 받지않고 가족이나, 친구들과 몸에 좋은 오리, 닭백숙등을 즐길수 있는 곳. 싱싱한 채소로 직접담그는 각종 밑반찬이 일품",주변도로,남녀공용,,,,,,,,,,,y,y,,y,129.4072585,35.96264325,,,,,y,,,,,,,,,,"상황버섯닭백숙(대, 상황버섯닭백숙(중), 상황버섯오리백숙 , 오리불고기, 닭도리탕, 뼈없는닭발,  해물파전  , 도토리사골탕, 도토리수제비  , 도토리묵채밥,  도토리묵무침, 도토리빈대떡, "
298,,뚱부라보식당,문현숙,경북 포항시 남구 오천읍 장기로 1580번길 32-3,,11:00~21:30,"2,4월요일",68석,,,15대,"남녀공용, 장애우 화장실 없음",,,,,,,,,,,y,y,y,y,129.4289523,35.96223317,,,,,y,,,,,,,,,,"한방오리백숙, 한방닭백숙, 옻오리백숙, 옻닭백숙, 오리불고기, 오리불고기(반마리추가시), "
299,기타,뜨라레오리,손순분,경북 포항시 남구 연일읍 자명로145번길 3-24 (1층),,09:00~21:30,둘째주 넷째주 월요일 휴무,테이블 19개,,식당이 영업한지 1년 돼면서 오리 불고기 종류별로 맛이 맛있고 잘 나갑니다,식당앞 주차가능,남녀구분,,,,,,,,y,,,y,,y,y,129.3040428,36.01037001,,,,,,,y,,,,,,,,"힐링 오리불고기 , 힐링 오리불고기, 능이 소고기 버섯전골, 돈까스, "
300,한식,만성한방삼계탕,장화식,"경북 포항시 북구 흥해읍 새마을로394번길 47-1, 1층",,10:00~19:00,일요일 매주,테이블 12개,,"건강 음식이 다 모여있는 음식점
주차하기 편한 집
오래된 경력의 주인이모가 하는 삼계탕 맛집",근처주차,남녀공용,,,,,,,,y,,,,,,y,129.3174325,36.04554755,,,,,y,,,,,,,,,,"삼계탕, 오리백숙, 닭백숙, 옻오리닭백숙, 닭개장, 미꾸라지추어탕, "
301,한식,무원옻백숙,하무선,"경북 포항시 남구 송림로 98, 1층 (송도동)",,10:00~20:00,연중무휴,테이블 4개,,"옻닭전문점으로 여름 보양식으로 많이드십니다
일반백숙도가능하시며 예약하시면빠르게드실수있습니다
그외 삼겹 고기메뉴 드실수 있습니다",주차4대,남녀구분,,,,,,,,y,,,y,,,,129.3745758,36.0383942,,,,,y,,y,,,,,,,,"옻백숙, 옻오리백숙, 삼계탕, "
302,한식,불미골오리,"배현미, 최영두(65.02.26)","경북 포항시 북구 침촌마을길 171, 1층 (양덕동)",,11:00~21:00,1째 3째주 월요일,테이블 26개,,고즈넉하고 멋스러운 건물에 위치한 오리전문점.,승용차 30대,남녀구분,,,,,,,,,,,y,,y,y,129.3692516,36.08891351,,,,,y,,,,,,,,,,"주원산 오리 참숯구이 한마리, 훈제 오리 참숯구이 한마리, 홍삼/고추장 한마리 참숯구이, 가마솥 통오리 바베큐, 오리불고기, 약 오리 백숙, 약 오리 찜, 약 옻오리 백숙, 가마솥 더덕 비빔밥, "
303,한식,뽕나무닭백숙,박홍화,"경북 포항시 북구 흥해읍 도음로856번길 11, 1층",,10:00~22:00,월요일 매주,테이블 8개,,뽕나무가 들어간 최고 맛집 백숙,7대 소형 주차장 완비,남녀공용,,,,,,,,y,,,y,,y,y,129.3275122,36.07782358,,,,,y,,,,,,,y,,,"토종닭백숙, 토종옻닭백숙, 오리백숙, 옻오리백숙, 오리불고기, "
304,정육식당,산더미오리 본점,강선영,"경북 포항시 북구 신덕로 57, 1층 (양덕동)",,11:30~22:00,x,30석,,"국내산 신선육 오리를 급냉숙성시켜 한방약초의 특제소스로 만든 오리불고기 맛집.
한방능이백숙이 맛있는 백숙맛집입니다.",공영주차장 이용,남녀구분,,,,,,,,y,,,y,,y,y,129.4083889,36.08435351,,,,,y,,y,,,,,,,,"약초오리불고기, 능이백숙, LA 갈비, "
305,한식,산수림,이종언,경북 포항시 북구 흥해읍 도음로827번길 12,,11:00~21:00,"월요일 둘째주, 넷째주",테이블 25개,,"고즈넉한 한옥 느낌의 추어, 백숙 맛집",대형주차장 완비,남녀구분,,,,,,,,y,,,y,,y,y,129.3244465,36.07924253,,,,,y,,,,,,,,,,"자연산 미꾸라지 추어탕, 추어수제비, 추어튀김, 해물파전, 삼계탕, 산약초 능이 토종 닭백숙, 산약초 옻 토종 닭백숙, 산약초 능이 토종 오리백숙, 산약초 옻 토종 오리백숙, "
306,,산오리전문점,최중해,"경북 포항시 남구 오천읍 하원로 51, 1층",,09:00~21:00,,28석,," 엄선된 한약재를 9시간 이상 고아서 그 물에 백숙을 만들어 건강식, 보양식. 기본 열가지이상의 밑반찬이 제공되는 정성이 가득한 집",주변도로,"남녀공용, 장애우 화장실 없음",,,,,,,,y,,,y,,,y,129.4043142,35.9752677,,,,,y,,,,,,,,,,"옻오리백숙, 능이버섯백숙, 오리주물럭(1인분 120g), 생삼겹살, 닭볶음탕(대), 닭볶음탕(소), 점심식사, 청국장, 삼계탕, "
307,,선래 보리밥,전현주,경북 포항시 남구 오천읍 오어로 309 (보광그린상가 1층 101호),,11:30~20:00,매주월요일,20석,,"공기좋은 오어사 가는 입구에 위치한 보리밥집, 직접재배한 채소로 만든 밑반찬이 인기가 많아 ",5대,"남녀공용, 장애우시설없음",,,,,,,,,,y,y,,,y,129.3927927,35.9395582,,,,,,,,,,,,,,오어사주변,"보리밥, 소고기국, 동태탕, 생돼지찌개, 된장찌개, 칼국수/잔치국수/라면, 닭도리탕, 동태탕, 생돼지찌게, 두루치기, 오징어(무침회, 숙회), 홍어삼합, 두부김치, 부추전, 파전, 대표삼겹살, 과메기, 굴전/생굴회, 두부김치, 부추전, 파전, "
308,,선래매운탕,이여숙,경북 포항시 남구 오천읍 오어로 280,오천오어사둘레길,10:00~20:00,"1,3월요일",64석,,"매운탕전문,  직접농사지어 만든 밑반찬인 일품인 한정식이 일품, 친절과 정직으로 오랫동안 영업해옴. 자가방역 우수업소로 시에서 인증, 넓은 주차장과 청결한
홀에서 안전한 각종단체 모임이 많은 곳.",64석,,,,,,,,,y,,y,y,,y,y,129.3920125,35.93692239,,,,,,,,,,,,,,,"선래한정식, 메기매운탕, 잡어매운탕, 돼지수육, 돼지두루치기, 회무침, 묵무침, 두부김치, 콩국수(여름특미), 부추전, 사리(우동,라면), 사리(수제비), "
309,한식,선비고을가든,김은정,경북 포항시 북구 송라면 보경로 474,보경사건강마을,09:00~18:00,휴무연중무휴,테이블 30개,,"우리 식당은 산채비빔밥과 산채정식, 더덕정식이 유명합니다. 된장찌개는 어느 음식이든 다 나옵니다.
토종닭백숙, 오리백숙, 불고기, 해물파전, 도토리묵 등 음식이 다양하며 버섯전골도 있습니다.
직접 만든 두부는 서비스로 나옵니다. 
항상 친절하게 손님을 모시겠습니다.",보경사 공동 주차장,남녀구분,,,,,,,,y,,,y,,,,129.3194768,36.24666035,,,,,y,y,,,,,,,,전망좋은맛집,"한방토종닭백숙, 한방오리백숙, 산채비빔밥, 손칼국수, 더덕구이정식, 산채정식, 도토리묵, 해물파전, 우리콩촌두부, "
310,,소반,김영식,경북 포항시 남구 오천읍 오어로 247,오천오어사둘레길,11:00~20:00,매주수요일,48석,,"저희 소반은 매주 메뉴가 바뀌는 가정식 식당입니다. 개인 소반상에 1인씩 제공되어 위생적입니다. 매주 바뀌는 메뉴로 새로운 식사를 즐길 수 있습니다.
깔끔하고 현대적인 인테리어로사진찍기 좋아  있기가 많습니다. ",10대,"남녀구분,장애우시설없음",,,y,,,,,y,,,y,,y,y,129.3893299,35.93538568,,,,,,,,,,,,,,오어사주변,"매일매일 메뉴가 달라짐., 닭계장뚝배기 가정식, 함박카츠 정식, "
311,한식,송도오리마을,이명신,경북 포항시 남구 송림로22번길 3 (송도동),,10:00~22:00,매주월요일,테이블 9개,,"예약제로만 운영되며 건강에좋은 한약제와 오리 전복이어울러져 건강한 맛을냅니다
포장도가능합니다
",,남녀공용,,,,,,,,y,,,y,,y,y,129.3762858,36.0317739,,,,,y,,y,,,,,,,,"전복오리백숙, 생오리양념구이, 생오리로스구이, 송도훈제오리, "
312,한식,송원오리,문성식,"경북 포항시 남구 해동로72번길 12, 1층 (해도동)",,10:00~23:00,연중무휴,테이블 12개,,"단체 손님을 받을수 있는 장소가 완비되어 있습니다
오리백숙은 1시간전에 예약을 받아 조리시간은 조금 기다려야 되시지만 예약시 그 시간에 딱 맞춰서 드립니다
보쌈과 백숙을 같이 드실 수 있는 곳입니다",7대가능,남녀공용,,,,,,,,y,,,y,y,y,y,129.37417,36.02593192,,,,,y,,,,,,,,,,"보쌈, 홍어보쌈, 오리불고기, 돼지불고기, 닭도리탕, "
313,한식,식객,김완진,경북 포항시 남구 연일읍 중단리 301-1,,11:00~22:00,휴무연중무휴,테이블 20개,,"식당은 운영한지 11년 돼면서 대표메뉴가 백숙류(오리,토끼,닭)입니다
대표 메뉴에 재료들은 전문업체에서 직접공수 해와서
오리,닭,토끼는 국내산으로 사용하고 있습니다
",식당앞 주차가능,남녀구분,,,,,,,,y,,,y,,,y,129.3286253,35.99043014,,,,,y,,,,,,,,,,"토끼백숙, 토끼전골, 옻토끼, 오리훈제, 오리불고기, 오리백숙, 닭백숙, "
314,,식당마당,주순근,경북 포항시 남구 오천읍 냉천로270번길 7-1,,11:00~21:00,매주월요일,36석,,"삼계탕, 닭불고기, 콩나물밥 당일 조리를 원칙으로 하며 삼계탕은 채수와 한약육수와 신령대추, 풍기인삼, 마늘, 밤등 경상북도의 특산물인 엄선된 식재료를 사용하여 끓이며, 들깨삼계탕과 마당삼계탕은 최상의 맛과 건강을 고려하여 노력합니다. 닭불고기역시 국산고추가루와 그외 깨끗한 식재료로 소스를 내어 끓이고 있습니다. 음식 메뉴하나하나에 처음시작하는 마음으로 정성을 다하고 있습니다.","5대, 주변도로가능",남녀구분,,,y,,,,,,,,y,,y,y,129.4091282,35.97037242,,,,,y,,,,,,,,,,"마당삼계탕, 들깨삼계탕, 닭불고기(대), 닭불고기(중), 닭불고기(소), 마당콩나물밥, 마당해물전, "
315,일식,아오리의 행방불명 포항점,강라희 외 1명,"경북 포항시 북구 중앙상가길 9-1, 1층 (대흥동)",,11:00~21:00,연중무휴,테이블 42개,,"저희업소늘 일본식요리 전문점입니다 
요즘 시대에 맞게 혼밥가능한 테이블 많이있으며 룸 및 단체석 또한 마련되어있습니다 메뉴하나하나에 정성과 전문성을더해 맛있는 요리를 조리하고있습니다 전메뉴 포장배달 가능합니다",주차3대,남녀구분,,,,,,,,y,,y,y,y,y,y,129.3622604,36.03649107,,,,,,,,,,,,,,,"아오리셋트, 미소셋트, 마제셋트, 아오리라멘, 미소라멘, 차슈덮밥, 마제멘.히야시라멘, "
316,한식,알토랑한방오리,성귀자,경북 포항시 남구 상도로26번길 3 (상도동),,12:00~21:00,매주일요일 오전,테이블 16개,,"토종한방백숙 전문점입니다
여러가지한약제를사용하여 건강식으로좋습니다
안심식당으로등록되어있습니다
룸식으로되어있어 조용한분위기에서 드실수있습니다",,남녀구분,,,,,,,,y,,y,y,,y,y,129.3530199,36.01157504,,,,,y,,,,,,,,,,"한방오리황제탕, 한방오리, 상황전복삼계탕, 전복삼계탕, 홍어삼합, 홍어전, 오리훈제, "
317,,양주골오리마을,김선희,경북 포항시 남구 오천읍 오어로 159 ((1층)),오천오어사둘레길,10:00~21:30,매주월요일,80석,,"100% 국산 생오리고기 전문점. 유황오리의 20배이상 효능을 가진 셀덕산 오리만 사용. 오어사 입구에 위치해서 멋진 경치와 함께 손수 장만하신 각종 야채 반찬이 
일품인곳.",20대,"남녀구분, 장애우화장실 없음",,,,,,,,y,,,y,,y,y,129.3832933,35.9298508,,,,,y,,,,,,,,,오어사주변,"회전한마리(11꼬치), 회전기본(8꼬치), 회전반마리(6꼬치), 양념주물럭한마리, 양념주물럭반마리, 한방백숙, 옻백숙, "
318,,어성추어탕,윤현주,경북 포항시 남구 오천읍 오어로 309 (보광상가102),,10:00~05:00,매주일요일,20석,,찾아오신 손님들께 정성스럽게 마련한 음식을 대접해온것이 오랫동안의 영업비밀. 간소한 메뉴로 건강하게 만들어내고 있음. ,10대,"남녀공용, 장애우시설없음",,,,,,,,y,,y,y,,y,y,129.3927927,35.9395582,,,,,,,,,,,,,,오어사주변,"추어탕, 김치찌개, 된장찌개, 정식, "
319,기타,연일옻닭식당,강도연,경북 포항시 남구 연일읍 철강로71번길 13,,11:00~21:00,매주 일요일 휴무,테이블 19개,,식당이 영업한지는 30년돼면서 옻닭하고 백숙 두가지만 파는 옻닭집 입니다.,주차장 ,남녀구분,,,,,,,,y,,,y,,y,y,129.3505528,35.99149327,,,,,y,,,,,,,y,,,"옻닭, 백숙, "
320,,영진식당,장다은,경북 포항시 남구 오천읍 오어로 103,오천오어사둘레길,10:30~21:00,연중무휴,"실내68석, 단체방 60석",,"오랫동안의 영업( 50년간) 해오고 있듯이 믿고 드실수있어 한번 오신 분들은 다음에 다시 꼭오시는 음식점, 오어사 바로 밑에 위치해 있어서 경치와 공기가 좋습니다. 직접재배하고 만든 음식이라 안심하고 믿을 수 있습니다.   노래방기계, 별도의 화장실이 구비된 단체룸에서 각종 모임이 가능합니다. ","가게앞 8대, 오어사 공용주차장 200대","님녀분리, 장애우 화장실 없음",,,,,,,,y,,y,y,,y,y,129.3779765,35.9285893,,,,,y,,,,,,,,,오어사주변,"한방오리백숙, 한방닭백숙, 한방옻백숙, 한방옻오리백숙, 오리불고기, 닭도리탕, 산채비빔밥, 치자칼국수, 잔치국수, 도토리묵, 메밀전병, 파저, "
321,정육식당,오리명가,김광호,경북 포항시 남구 이동로 18 (이동),이동음식일번지,12:00~22:00,연중무휴,120석,,"저희 가게는 무조건 품질우선주의를 원칙으로 합니다. 
신선한 생고기는 필수. 생고기 중 질 좋은 것만 까깐하게 선정하여 생고기 기준으로 보아 부적절할 경우 무조건 폐기합니다.
직접 맛을 보면  아십니다.",전용 8대,남녀구분,,,,,,,,y,,,y,,y,y,129.3374729,36.03199325,,,,,y,,,,,,,,,,"녹차1등급생오리, 녹차생오리양념불고기, 녹차유황훈제, (식사류)냉면, 볶음밥, "
322,,오리일번지,김외숙,경북 포항시 남구 오천읍 오어로 225,오천오어사둘레길,10:00~20:00,연중무휴,150석,,"엄선된 한약재료로 각종오리요리( 오리백숙, 오리불고기) 와 토끼요리 전문점입니다. 손수지은 채소로 밑반찬을 정성스럽게 준비하며 넓은 실내와 족구장이 구비되어있엇 각종 단체회식장소로도 많이 이용되고 있습니다. 10인이상 예약하시면 봉고차로 차량서비스도 있습니다. ",50대,"남녀구분, 장애우시설없음",,,,,,,,y,,,y,,y,y,129.3868819,35.93438033,,,,,y,,,,,,,,,오어사주변,"옷오리백숙, 한방오리백숙, 오리탕, 오리훈제, 생오리구이, 오리불고기, 반마리추가, 옻닭, 한방닭백숙, 닭도리탕, 옻토끼, 토끼백숙, 토끼탕, 삼겹살, 파전, 도토리묵, 메밀전병, 화닭만두, "
323,한식,오리진,강정진,경북 포항시 북구 흥해읍 학천리 316-1 ,,10:00~21:00,연중무휴,테이블 18개,,오리를 종류별로 판매하는 오리구이 맛집,중형주차장 완비,남녀구분,,,,,,,,y,,,y,,,y,129.3231524,36.07742213,,,,,y,,y,,,,,,,,"생오리구이, 오리양념불고기, 오리더덕불고기, 오리훈제구이, 모듬숯불구이, 한방 오리/닭 백숙, "
324,,오어사식당,김성숙,경북 포항시 남구 오천읍 오어로 103,오천오어사둘레길,10:00~,연중무휴,100석,,"천년고찰이 오어사 공용주차장 맞은편에 위치, 오어지 둘레길까지의 접근성이 좋고, 운제산의 풍경을 제대로 즐길수있는 곳이다. 직접지은 배추로 직접담는 김치, 각종 반찬이 입소문이 났음. ","가게앞 10대, 오어사 공용주차장 200대","남녀구분, 장애우화장실없음",,,,,,,,,,y,y,,y,y,129.3779765,35.9285893,,,,,y,,,,,,,,,오어사주변,"문경약돌돼지, 오리불고기, 한방오리백숙, 한방닭백숙, 옻닭, 옻오리백숙, 파전, 도토리묵, 두부김치, 비빔밥, 볶음밥, "
325,,운수대통,임경원,경북 포항시 남구 오천읍 오어로 240,오천오어사둘레길,10:00~20:00,"2,4수요일",124석,,"신선한 국내산 식재료만 사용합니다. 안심선도 음식점 선정업소로 맛과 영양및 위생청결에 최선을 다하고 있습니다. 단체석, 개별식사룸,  넓은 족구장, 넓은 주치장이 있어 단체 회식, 워크샵이용ㅇ 많습니다. ",30대,,,,,,,,,y,,,y,y,y,y,129.3886624,35.9344904,,,,,y,,,,,,,,,오어사주변,"오리백숙, 옻오리, 닭백숙, 옻닭, 닭볶음탕, 오리불고기, 옻토끼, 꿩탕, 토끼탕, 파전, 도토리묵, 볶음밥, "
326,,운제산장식당,이희자,경북 포항시 남구 오천읍 오어로154번길 267,,11:00~20:00,연중무휴,150석,,"오어지 둘레길에 위치해 있어 계절에 따라 운제산의 아름다운 경치를 즐길 수 있는 곳, 여름에는 수영장을 운영하여 가족모임, 각종 단체 회식등에 좋음
운제산에 둘러싸여있어서 주위에 산책등 힐링의 공간",50대,"남녀구분, 장애우시설없음",,,,,,,,y,,y,y,,y,y,129.3821848,35.90955209,,,,,y,,,,,,,,,,"염소(500g), 염소1마리, 염소반마리, 삼겹살(500g), 토종닭백숙, 오리백숙, 토종닭볶음탕, 오리볶음탕, 오리불고기, 오리로스, 해물파전, 해물미나리전, "
327,한식,이가궁중삼계탕칼국수,이정순,경북 포항시 남구 중섬로 28 (대잠동),,10:00~22:00,연중 무휴,35석,,"저희집 메뉴로는 삼계탕, 전복, 칼국수가 있습니다
삼계탕은 국물이 깔끔하고 잡내가 없어 손님들의 반응이 좋습니다
전복은 큰 사이즈로 남해에서 공수해옵니다
칼국수는 삼계탕 육수를 이용해서 구수하고 단백하니 오셔서 드셔보시기 바랍니다.",6대,남녀공용,,,,,,,,y,,y,y,y,y,y,129.3477972,36.01357476,,,,,y,,,,,,,,,,"삼계탕, 전복 삼계탕, 들깨 삼계탕, 상황버섯 삼계탕, 상황버섯 전복삼계탕, "
328,기타,주왕산 삼계탕,김은미,경북 포항시 남구 연일읍 동문로 73 (오천리),,10:00~21:00,첫째주~셋째주 일요일 휴무,130석,,식당 영업한지는 20년 되면서 삼계탕 종류가 골고루 잘나가면서 몸보신이 되는 삼계탕 집입니다.,식당앞 소중형 주차가능,남녀구분,,,,,,,,y,,,y,y,y,y,129.3521392,35.99703087,,,,,y,,,,,,,,,,"주왕산삼계탕, 참옻삼계탕, 한방삼계탕, 능이버섯삼계탕, 전복삼겨탕, "
329,한식,지호한방삼계탕,이홍일,"경북 포항시 북구 대곡로 56 (두호동,(1층))",,10:00~22:00,명절날 하루,76석,,"20여가지 약재와 토종닭을 사용하여 만든 최고의 보양식입니다
HACCP인증받은 자체 시설에서 위생적으로 조리하고 있습니다
삼계탕의 종류(얼큰, 옻, 헛게, 전복 등)가 다양합니다
매일 2시간씩 정성들여 만든 삼계탕을 많이 드시러 오세요.",건물뒤편15대,남녀공용,,,,,,,,y,,,y,y,y,y,129.3733338,36.06790763,,,,,y,,,,,,,,,,"옻한방삼계탕, 단호박삼계탕, 헛개삼계탕, 얼큰삼계탕, 녹두삼계탕, 들깨삼계탕, "
330,,지호한방삼계탕,황정숙,"경북 포항시 북구 장량로 243, 1층 (양덕동)",,10:00~21:30,,테이블 24개,,건강삼계탕이 맛있습니다,공용주차장이용,남녀구분,,,,,,,,y,,,y,y,y,y,129.4071744,36.08232226,,,,,y,,,,,,,,,,"건강한방삼계탕, 미용한방삼계탕, 죽한방삼계탕, 얼큰한방삼계탕, 옻한방삼계탕, 들깨한방삼계탕, 녹두한방삼계탕, 헛개한방삼계탕, 단호박한방삼계탕, 전복약도라지삼계탕, 천마오리보양탕, 약닭찜, 닭도리탕, 오리닭가슴살떡갈비, 불닭발, 오리고추장불고기, "
