연번,업소명,소재지,위도,경도,지역,지정등급,지정번호,지정일자
209,스타벅스 해운대역점,"부산광역시 해운대구 구남로 9(우동, 라마다호텔 101,102호)",35.16330193,129.159611,매우우수,HG190002003,부산광역시 해운대구,2019-11-26
210,스타벅스센텀시티역점,"부산광역시 해운대구 센텀동로 9(우동, 트럼프월드센텀112-2,113호)",35.16986881,129.1324585,매우우수,HG190002011,부산광역시 해운대구,2019-11-26
211,스타벅스 베네시티점,"부산광역시 해운대구 해운대해변로 163(우동, 베네시티상가 101호 일부)",35.15816777,129.1507245,매우우수,HG190002032,부산광역시 해운대구,2019-11-26
212,cafe 레브,부산광역시 동구 정공단로 27(1층 좌천동),35.13577136,129.0544185,좋음,HG190002048,부산광역시 동구,2019-11-29
213,스톡데일커피로스터스,부산광역시 동래구 명안로9번길 85(1층 안락동),35.19824807,129.0998213,좋음,HG190002102,부산광역시 동래구,2019-11-29
214,라화쿵부서면중앙점,부산광역시 부산진구 중앙대로692번길 15(2~3층 부전동),35.1545872,129.0601822,우수,HG190002214,부산광역시 부산진구,2019-12-09
215,동원장수촌 하단점,"부산광역시 사하구 동매로 117(B201호 하단동, 건우리안)",35.10194534,128.9710282,좋음,HG190002219,부산광역시 사하구,2019-12-09
216,(주)장례식장 아시아드식당,부산광역시 동래구 여고로 42(6층 사직동),35.19549925,129.0686095,우수,HG190002240,부산광역시 동래구,2019-12-09
217,위치커피하단점,부산광역시 사하구 낙동대로 547(1층 하단동),35.11253924,128.9639688,매우우수,HG190002243,부산광역시 사하구,2019-12-09
218,(주)아워홈 부산외국어대학교점(카페그랑),부산광역시 금정구 금샘로485번길 65(부산외국어대학교 학생식당 지1층 남산동),35.26618755,129.0805505,매우우수,HG190002248,부산광역시 금정구,2019-12-09
219,집밥이좋다 부산현대점,부산광역시 동구 범일로 125(현대백화점 부산점 지하2층 범일동),35.14130573,129.0585722,매우우수,HG190002265,부산광역시 동구,2019-12-09
220,별난 수작요리 팩토리,부산광역시 연제구 거제천로 124(2층 연산동),35.18467751,129.0752859,좋음,HG190002270,부산광역시 연제구,2019-12-09
221,행복한동행(장림점),"부산광역시 사하구 장림번영로104번길 10(1층 115호 장림동, 사하장림역스마트W아파트)",35.08020566,128.9763406,좋음,HG190002273,부산광역시 사하구,2019-12-09
222,헐랭이핫바,부산광역시 수영구 연수로310번길 43(2층 망미동),35.17065853,129.1035767,좋음,HG190002282,부산광역시 수영구,2019-12-09
223,진죽공방 부산현대점,부산광역시 동구 범일로 125(현대백화점 부산점 지하2층 범일동),35.14130573,129.0585722,우수,HG190002290,부산광역시 동구,2019-12-09
224,하동원조한우국밥,부산광역시 사상구 사상로 219(1층 괘법동),35.16443988,128.9832862,우수,HG190002374,부산광역시 사상구,2019-12-12
225,메이시스(maysis),부산광역시 수영구 망미번영로52번길 17(1층 수영동),35.17146158,129.1103827,좋음,HG190002385,부산광역시 수영구,2019-12-12
226,대가야,"부산광역시 사하구 낙동남로 1346(1,2,3층 하단동)",35.10584555,128.9589538,좋음,HG190002414,부산광역시 사하구,2019-12-12
227,오슬로사이먼 부산점,부산광역시 기장군 장안읍 정관로 1133(부산프리미엄아울렛 100동 2층 475호),35.32372898,129.2349491,매우우수,HG190002428,부산광역시 기장군,2019-12-12
228,셀렉더테이블,"부산광역시 기장군 장안읍 정관로 1133(부산프리미엄아울렛 100동 2층 453,455,457,459,461호)",35.32372898,129.2349491,매우우수,HG190002436,부산광역시 기장군,2019-12-12
229,(주)이마트금정점,"부산광역시 금정구 중앙대로1841번길 24(구서동,외 6필지)",35.24994464,129.0905977,좋음,HG190002459,부산광역시 금정구,2019-12-13
230,이디야,"부산광역시 부산진구 범일로 184(범천동, 지상1층일부)",35.14641662,129.0596042,매우우수,HG190002499,부산광역시 부산진구,2019-12-13
231,메가커피양정점,부산광역시 부산진구 중앙대로 898(1층 양정동),35.17036989,129.0694767,좋음,HG190002519,부산광역시 부산진구,2019-12-13
232,자미당 남천점,부산광역시 수영구 수영로464번길 8(1층 남천동),35.14716608,129.1107216,매우우수,HG190002550,부산광역시 수영구,2019-12-18
233,라벨스하이디 엄궁갤러리점,부산광역시 사상구 강변대로532번길 94(주라텍 1층 엄궁동),35.13020991,128.9692245,우수,HG190002552,부산광역시 사상구,2019-12-18
234,(주)엔제리너스 주례점,"부산광역시 사상구 주례로10번길 110(주례동, 2층)",35.1500546,129.0050956,매우우수,HG190002563,부산광역시 사상구,2019-12-18
235,대궐안집,부산광역시 사상구 광장로 68(괘법동),35.16171141,128.9840546,우수,HG190002564,부산광역시 사상구,2019-12-18
236,화덕애(빠지다),부산광역시 강서구 대저로274번길 20(대저1동),35.21192058,128.9816626,좋음,HG190002570,부산광역시 강서구,2019-12-18
237,황금곰장어,부산광역시 사상구 가야대로282번길 26(주례동),35.14943743,129.0023443,우수,HG190002575,부산광역시 사상구,2019-12-18
238,하농숯불갈비 2호점,부산광역시 강서구 명지국제12로19번길 1(1층 명지동),35.10498952,128.9229658,좋음,HG190002576,부산광역시 강서구,2019-12-18
239,카페 파스텔,부산광역시 사상구 엄궁로 65(엄궁동),35.12318548,128.9729043,우수,HG190002577,부산광역시 사상구,2019-12-18
240,12시집밥&맥주18(덕원집밥),부산광역시 사상구 모라로 22(부산벤처타워 114호 모라동),35.19090221,128.9847254,우수,HG190002581,부산광역시 사상구,2019-12-18
241,(주)비엔씨제과 롯데광복점,부산광역시 중구 중앙대로 2(롯데백화점광복점 지하1층 중앙동7가),35.09830894,129.0367048,매우우수,HG190002603,부산광역시 중구,2019-12-20
242,(주)고래사 롯데백화점광복점,부산광역시 중구 중앙대로 2(롯데백화점광복점 지하1층 중앙동7가),35.09830894,129.0367048,우수,HG190002619,부산광역시 중구,2019-12-20
243,소우조우,"부산광역시 중구 중앙대로 2(지하1층 중앙동7가, 외 110필지 롯데백화점)",35.09830894,129.0367048,매우우수,HG190002634,부산광역시 중구,2019-12-20
244,명품 칼제비,부산광역시 중구 중앙대로 2(롯데백화점광복점 지하1층 중앙동7가),35.09830894,129.0367048,매우우수,HG190002649,부산광역시 중구,2019-12-20
245,(주)조방낙지1번가,"부산광역시 중구 중앙대로 2(지상10층 중앙동7가, 외 110필지 롯데백화점)",35.09830894,129.0367048,우수,HG190002713,부산광역시 중구,2019-12-27
246,코코로 롯데백화점 광복점,"부산광역시 중구 중앙대로 2(10층 중앙동7가, 외110필지 롯데백화점)",35.09830894,129.0367048,매우우수,HG190002714,부산광역시 중구,2019-12-27
247,스쿨푸드부산광복점,"부산광역시 중구 중앙대로 2(4층 중앙동7가, 외 110필지 롯데백화점 아쿠아몰)",35.09830894,129.0367048,우수,HG190002727,부산광역시 중구,2019-12-27
248,거창까막국수 유한회사,"부산광역시 중구 중앙대로 2(지하1층 중앙동7가, 지하1층롯데백화점식품관 델리코너)",35.09830894,129.0367048,매우우수,HG190002741,부산광역시 중구,2019-12-27
249,다솥맛집,"부산광역시 중구 중앙대로 2(10층 중앙동7가, 외 110필지 롯데백화점)",35.09830894,129.0367048,매우우수,HG190002744,부산광역시 중구,2019-12-27
250,명란명가,부산광역시 중구 중앙대로 2(롯데백화점광복점 10층 중앙동7가),35.09830894,129.0367048,매우우수,HG190002745,부산광역시 중구,2019-12-27
251,김밥일번지,"부산광역시 북구 금곡대로 242(상가동 115호 화명동, 롯데캐슬멤버스)",35.229996,129.0130358,좋음,HG190002769,부산광역시 북구,2019-12-27
252,시키사이,"부산광역시 중구 중앙대로 2(지하1층 중앙동7가, 외 110필지 롯데백화점)",35.09830894,129.0367048,우수,HG190002774,부산광역시 중구,2019-12-27
253,해운대기와집대구탕,"부산광역시 중구 중앙대로 2(10층 중앙동7가, 외 110필지 롯데백화점)",35.09830894,129.0367048,우수,HG190002777,부산광역시 중구,2019-12-27
254,교자연,"부산광역시 중구 중앙대로 2(지하1층 중앙동7가, 외 110필지 롯데백화점)",35.09830894,129.0367048,매우우수,HG190002804,부산광역시 중구,2019-12-27
255,모시모시,부산광역시 중구 중앙대로 2(롯데백화점광복점 지상10층 중앙동7가),35.09830894,129.0367048,매우우수,HG190002805,부산광역시 중구,2019-12-27
256,롯데푸드(주)롯데백화점 광복점 커피,"부산광역시 중구 중앙대로 2(지하1층 중앙동7가, 외 110필지 롯데백화점)",35.09830894,129.0367048,매우우수,HG190002842,부산광역시 중구,2019-12-30
257,라비타커피(Lavita Coffee),"부산광역시 중구 중앙대로 2(지하1층 중앙동7가, 외 110필지 롯데백화점)",35.09830894,129.0367048,매우우수,HG190002857,부산광역시 중구,2019-12-30
258,제주스,부산광역시 중구 중앙대로 2(롯데백화점광복점 지하1층 중앙동7가),35.09830894,129.0367048,매우우수,HG190002880,부산광역시 중구,2019-12-30
259,전골(그집),부산광역시 사상구 가야대로 268-15(1층 주례동),35.14948468,129.0020815,매우우수,HG190002898,부산광역시 사상구,2019-12-30
260,고봉민김밥인,부산광역시 영도구 와치로 250(동삼동),35.07531479,129.0687705,좋음,HG200000027,부산광역시 영도구,2020-01-15
261,아메리칸트레일러,부산광역시 동래구 중앙대로 1393(지하1층 온천동),35.21170859,129.0774768,매우우수,HG200000052,부산광역시 동래구,2020-01-15
